hour,minute,desktop,smartphone,tablet,other
9, 17 , 110 , 48 , 46 , 8 
9, 18 , 100 , 45 , 43 , 7 
9, 19 , 97 , 39 , 47 , 7 
9, 20 , 107 , 40 , 48 , 6 
9, 21 , 99 , 38 , 48 , 6 
9, 22 , 105 , 46 , 49 , 7 
9, 23 , 100 , 45 , 48 , 7 
9, 24 , 96 , 40 , 51 , 7 
9, 25 , 102 , 38 , 53 , 7 
9, 26 , 103 , 37 , 55 , 7 
9, 27 , 101 , 40 , 55 , 7 
9, 28 , 100 , 40 , 48 , 7 
9, 29 , 107 , 42 , 49 , 7 
9, 30 , 99 , 41 , 52 , 7 
9, 31 , 100 , 46 , 52 , 8 
9, 32 , 100 , 48 , 50 , 8 
9, 33 , 109 , 45 , 57 , 9 
9, 34 , 110 , 44 , 57 , 7 
9, 35 , 108 , 45 , 54 , 9 
9, 36 , 109 , 50 , 58 , 9 
9, 37 , 114 , 48 , 64 , 10 
9, 38 , 111 , 46 , 65 , 10 
9, 39 , 107 , 49 , 69 , 11 
9, 40 , 106 , 51 , 64 , 10 
9, 41 , 108 , 48 , 64 , 11 
9, 42 , 110 , 42 , 65 , 7 
9, 43 , 102 , 47 , 58 , 7 
9, 44 , 111 , 49 , 52 , 7 
9, 45 , 115 , 55 , 61 , 7 
9, 46 , 111 , 54 , 61 , 7 
9, 47 , 100 , 53 , 68 , 8 
9, 48 , 98 , 46 , 64 , 6 
9, 49 , 107 , 47 , 68 , 8 
9, 50 , 99 , 47 , 62 , 9 
9, 51 , 119 , 48 , 59 , 8 
9, 52 , 111 , 52 , 70 , 8 
9, 53 , 109 , 50 , 65 , 9 
9, 54 , 112 , 50 , 66 , 8 
9, 55 , 108 , 49 , 60 , 8 
9, 56 , 104 , 49 , 65 , 11 
9, 57 , 118 , 58 , 71 , 8 
9, 58 , 123 , 52 , 74 , 8 
9, 59 , 123 , 55 , 73 , 9 
10, -   , 120 , 59 , 71 , 10 
10, 1 , 137 , 57 , 78 , 8 
10, 2 , 144 , 64 , 78 , 9 
10, 3 , 147 , 56 , 80 , 7 
10, 4 , 145 , 57 , 87 , 9 
10, 5 , 142 , 54 , 89 , 9 
10, 6 , 146 , 62 , 88 , 9 
10, 7 , 131 , 58 , 84 , 11 
10, 8 , 139 , 64 , 89 , 7 
10, 9 , 135 , 58 , 86 , 8 
10, 10 , 131 , 63 , 83 , 8 
10, 11 , 124 , 70 , 84 , 7 
10, 12 , 121 , 63 , 95 , 8 
10, 13 , 118 , 63 , 91 , 8 
10, 14 , 141 , 64 , 93 , 10 
10, 15 , 145 , 61 , 89 , 9 
10, 16 , 136 , 68 , 88 , 9 
10, 17 , 131 , 69 , 93 , 8 
10, 18 , 129 , 71 , 96 , 8 
10, 19 , 135 , 70 , 96 , 8 
10, 20 , 135 , 69 , 95 , 9 
10, 21 , 137 , 71 , 92 , 8 
10, 22 , 134 , 72 , 99 , 7 
10, 23 , 136 , 72 , 102 , 8 
10, 24 , 137 , 68 , 104 , 12 
