hour,minute,desktop,smartphone,tablet,other mobile
6, 36 , 134 , 103 , 66 , 54 , 10 
6, 37 , 128 , 98 , 65 , 60 , 8 
6, 38 , 142 , 107 , 64 , 97 , 9 
6, 39 , 141 , 107 , 63 , 58 , 8 
6, 40 , 151 , 111 , 63 , 71 , 9 
6, 41 , 133 , 106 , 63 , 62 , 9 
6, 42 , 127 , 102 , 60 , 58 , 10 
6, 43 , 129 , 107 , 57 , 64 , 8 
6, 44 , 130 , 109 , 63 , 57 , 11 
6, 45 , 128 , 109 , 64 , 55 , 8 
6, 46 , 137 , 105 , 64 , 60 , 8 
6, 47 , 134 , 104 , 65 , 59 , 8 
6, 48 , 124 , 98 , 56 , 55 , 8 
6, 49 , 123 , 96 , 54 , 53 , 7 
6, 50 , 120 , 95 , 57 , 58 , 8 
6, 51 , 156 , 115 , 57 , 60 , 7 
6, 52 , 143 , 112 , 59 , 60 , 9 
6, 53 , 141 , 112 , 56 , 56 , 8 
6, 54 , 132 , 103 , 55 , 56 , 9 
6, 55 , 121 , 91 , 56 , 56 , 10 
6, 56 , 123 , 91 , 55 , 56 , 7 
6, 57 , 138 , 115 , 52 , 50 , 7 
6, 58 , 126 , 105 , 54 , 57 , 6 
6, 59 , 120 , 93 , 51 , 51 , 8 
7, -   , 137 , 102 , 54 , 49 , 7 
7, 1 , 175 , 136 , 54 , 51 , 8 
7, 2 , 183 , 147 , 59 , 52 , 7 
7, 3 , 165 , 140 , 54 , 71 , 7 
7, 4 , 176 , 149 , 53 , 48 , 9 
7, 5 , 164 , 137 , 48 , 51 , 7 
7, 6 , 158 , 129 , 58 , 50 , 7 
7, 7 , 144 , 121 , 51 , 42 , 8 
7, 8 , 137 , 112 , 50 , 49 , 6 
7, 9 , 129 , 109 , 56 , 47 , 9 
7, 10 , 128 , 102 , 52 , 48 , 8 
7, 11 , 132 , 101 , 47 , 44 , 8 
7, 12 , 120 , 94 , 49 , 45 , 8 
7, 13 , 117 , 93 , 49 , 43 , 7 
7, 14 , 133 , 106 , 52 , 45 , 8 
7, 15 , 141 , 114 , 48 , 46 , 8 
7, 16 , 134 , 110 , 47 , 50 , 10 
7, 17 , 115 , 87 , 51 , 46 , 9 
7, 18 , 117 , 90 , 44 , 42 , 8 
7, 19 , 111 , 82 , 48 , 42 , 9 
7, 20 , 112 , 90 , 45 , 49 , 8 
7, 21 , 105 , 86 , 46 , 47 , 8 
7, 22 , 106 , 83 , 54 , 49 , 9 
7, 23 , 126 , 109 , 54 , 49 , 10 
7, 24 , 110 , 80 , 40 , 47 , 10 
7, 25 , 113 , 78 , 45 , 45 , 8 
7, 26 , 112 , 77 , 52 , 44 , 9 
7, 27 , 114 , 87 , 53 , 42 , 8 
7, 28 , 112 , 89 , 49 , 39 , 9 
7, 29 , 108 , 83 , 46 , 43 , 9 
7, 30 , 114 , 84 , 44 , 43 , 9 
7, 31 , 112 , 95 , 37 , 38 , 8 
7, 32 , 112 , 97 , 45 , 35 , 9 
7, 33 , 120 , 82 , 44 , 39 , 9 
7, 34 , 117 , 84 , 46 , 39 , 8 
7, 35 , 125 , 86 , 47 , 38 , 9 
7, 36 , 102 , 83 , 52 , 38 , 8 
7, 37 , 105 , 85 , 47 , 33 , 9 
7, 38 , 124 , 86 , 48 , 39 , 7 
7, 39 , 121 , 88 , 43 , 40 , 7 
7, 40 , 110 , 82 , 54 , 33 , 7 
7, 41 , 114 , 86 , 45 , 35 , 9 
7, 42 , 109 , 85 , 48 , 39 , 6 
7, 43 , 104 , 85 , 43 , 39 , 7 
7, 44 , 112 , 89 , 39 , 41 , 8 
7, 45 , 112 , 93 , 45 , 42 , 7 
7, 46 , 108 , 87 , 43 , 37 , 8 
7, 47 , 107 , 89 , 44 , 36 , 8 
7, 48 , 95 , 75 , 42 , 36 , 10 
7, 49 , 91 , 75 , 37 , 40 , 8 
7, 50 , 104 , 81 , 40 , 37 , 8 
7, 51 , 113 , 101 , 40 , 37 , 9 
7, 52 , 108 , 90 , 41 , 35 , 8 
7, 53 , 102 , 89 , 43 , 37 , 7 
7, 54 , 103 , 87 , 39 , 35 , 8 
7, 55 , 94 , 75 , 38 , 39 , 7 
7, 56 , 93 , 75 , 39 , 42 , 7 
7, 57 , 101 , 92 , 44 , 40 , 8 
7, 58 , 95 , 92 , 42 , 42 , 7 
7, 59 , 97 , 79 , 46 , 41 , 7 
8, -   , 104 , 85 , 49 , 37 , 9 
8, 1 , 127 , 118 , 46 , 38 , 6 
8, 2 , 142 , 112 , 44 , 34 , 5 
8, 3 , 130 , 107 , 43 , 34 , 7 
8, 4 , 133 , 125 , 44 , 38 , 8 
8, 5 , 131 , 119 , 44 , 44 , 9 
8, 6 , 124 , 107 , 46 , 35 , 9 
8, 7 , 106 , 102 , 42 , 41 , 6 
8, 8 , 104 , 98 , 43 , 40 , 8 
8, 9 , 103 , 97 , 35 , 35 , 7 
8, 10 , 110 , 94 , 43 , 40 , 9 
8, 11 , 104 , 86 , 39 , 41 , 8 
8, 12 , 101 , 81 , 39 , 40 , 7 
8, 13 , 97 , 83 , 37 , 38 , 7 
8, 14 , 105 , 90 , 38 , 40 , 6 
8, 15 , 117 , 100 , 33 , 39 , 7 
8, 16 , 106 , 94 , 35 , 37 , 6 
8, 17 , 102 , 87 , 38 , 40 , 6 
8, 18 , 96 , 82 , 38 , 36 , 7 
8, 19 , 94 , 80 , 36 , 36 , 7 
8, 20 , 93 , 83 , 38 , 39 , 7 
8, 21 , 94 , 85 , 37 , 38 , 8 
8, 22 , 89 , 78 , 36 , 41 , 6 
8, 23 , 126 , 120 , 35 , 36 , 6 
8, 24 , 90 , 77 , 37 , 31 , 6 
8, 25 , 97 , 82 , 40 , 36 , 7 
8, 26 , 95 , 84 , 41 , 34 , 8 
8, 27 , 91 , 78 , 44 , 36 , 6 
8, 28 , 95 , 80 , 39 , 37 , 7 
8, 29 , 83 , 82 , 36 , 36 , 7 
8, 30 , 92 , 82 , 35 , 32 , 8 
8, 31 , 99 , 83 , 36 , 31 , 8 
8, 32 , 106 , 80 , 42 , 35 , 8 
8, 33 , 102 , 75 , 40 , 37 , 8 
8, 34 , 102 , 77 , 37 , 38 , 7 
8, 35 , 103 , 78 , 37 , 35 , 7 
8, 36 , 93 , 71 , 36 , 37 , 7 
8, 37 , 89 , 77 , 39 , 38 , 6 
8, 38 , 94 , 75 , 35 , 38 , 6 
8, 39 , 102 , 79 , 40 , 37 , 6 
8, 40 , 113 , 78 , 45 , 38 , 6 
8, 41 , 101 , 70 , 39 , 38 , 8 
8, 42 , 91 , 79 , 37 , 36 , 6 
8, 43 , 90 , 85 , 38 , 37 , 7 
8, 44 , 88 , 92 , 35 , 36 , 9 
8, 45 , 96 , 88 , 31 , 36 , 6 
8, 46 , 96 , 84 , 38 , 37 , 6 
8, 47 , 92 , 85 , 38 , 37 , 7 
8, 48 , 88 , 75 , 40 , 43 , 6 
8, 49 , 95 , 73 , 41 , 37 , 5 
8, 50 , 94 , 74 , 38 , 43 , 5 
8, 51 , 97 , 84 , 37 , 40 , 8 
8, 52 , 98 , 83 , 40 , 39 , 8 
8, 53 , 99 , 86 , 37 , 33 , 8 
